authorId,authorProfile,author,dateCreated,text
100002569070539,https://www.facebook.com/last.man.7370,Last Man,2022-10-18T10:13:40.000Z,"بعد رحيل رونالدو الريال خرج من دوري الأبطال في دور ال16 ضد أياكس لأول مرة منذ أكثر من 10 سنوات. 
ثم خرج من مانشستر سيتي في الموسم الموالي... 
ثم خرج من تشلسي. و في الموسم الرابع حقق الأبطال. يعني تمت إعادة بناء الفريق بعد رحيل رونالدو. رونالدو كان له تأثير كبير و في نفس الوقت ريال مدريد النادي الأعظم في التاريخ لا يتوقف على لاعب واحد. فقد فازوا ب9 ابطال قبل حقبة رونالدو و سيفوزون بعدها أيضا. 
أما برشلونة فهو نادي صغير مقارنة بريال مدريد. قبل 2006 كانت لديهم دوري ابطال واحدة.  ثم صنع أمجاده الجيل الذهبي للفريق بقيادة انييستا و تشافي و ميسي. و بعد رحيلهم انتهى الفريق و من الصعب العودة لمنصات الأبطال لان ذلك هو الوضع الطبيعي هناك. جيل ميسي هو طفرة في تاريخ النادي و ليس الأمر المعتاد. 
بالمناسبة ميسي لم يحقق الأبطال منذ رحيل انييستا في 2015. 
و كل عام يخرج بريمونتادا. و بعد أن انتقل لباريس المدجج بالنجوم حافظ على التقاليد و ضيع ضربة جزاء و خرج بريمونتادا أيضا ... فبلاش هبد من فضلكم"
100016568835742,https://www.facebook.com/people/Hassan-Al-Obaid-Ali/100016568835742/,Hassan Al-Obaid Ali,2022-10-18T10:43:06.000Z,واحده بالحلال ولا 7 بالحرام ��
100004429459374,https://www.facebook.com/people/%D9%8A%D9%88%D8%B3%D9%81-%D9%88%D9%84%D9%8A%D8%AF/100004429459374/,يوسف وليد,2022-10-18T10:16:47.000Z,"الصحفي: الفوز بالكرة الذهبية أو الحذاء الذهبي ؟
أومتيتي: إيكر كاسياس😂"
100013637581931,https://www.facebook.com/people/S%C3%B5%C3%BAfi%C3%A4%C5%88e-Cha%C3%A2/100013637581931/,Sõúfiäňe Chaâ,2022-10-18T10:02:51.000Z,الحذاء الذهبيهههههه الذي ربحه بنزيما
100012250087526,https://www.facebook.com/mazoooooon,مازن أحمد,2022-10-18T18:40:36.000Z,مقارنة خاطئة لأن الفرق بين ريال مدريد وبرشلونة يكمن في العقلية وصناعة القرار وحتى لو اعدت مسي سيبقى برشلونة في الدوري الاوروبي حتى يتغير رئيس النادي لشخص اداري بحق يقلب النادي رأسا على عقب
100050767637377,https://www.facebook.com/people/%D8%B9%D9%84%D9%8A-%EF%B9%BA/100050767637377/,علي 'ﹺ.,2022-10-18T10:03:22.000Z,"🚨🚨🚨 جيرارد بيكيه عبر الأنستا :

- مبروك يا بني على هذه الجائزة ❤️✋"
100005965237515,https://www.facebook.com/NIKOKHTEKm,Mokhtar Belkheir,2022-10-18T10:39:12.000Z,‏‎رونالدوا فقاعة صنعها بيريز وسكواد الريال الاسطوري ذاك وقت والدليل فاز بكرة ذهبية واحدة في 2008 وبعدها جلده ميسي بأربعة متتالية حتى صار يبكي لما فاز بها في2013تخيل لو لم يتعاقد معه الريال لكان حاليا معتزل او يقارن مع اشباه اللاعبين وبرغم من وقوف لاعبي الريال في ظهره ولم يستطع تجاوز ميسي
100010798843195,https://www.facebook.com/people/%D9%85%D9%83%D9%8A-%D8%A7%D9%84%D8%AD%D8%B3%D9%8A%D9%86%D9%8A/100010798843195/,مكي الحسيني,2022-10-18T15:46:27.000Z,هذا دليل على أن رونالدو كان صفر على الشمال ولايستحق التطبيل .وميسي فريق كامل ولايقارن باي لاعب
100007331463689,https://www.facebook.com/people/%D8%AE%D9%84%D9%81-%D8%AD%D8%A7%D8%AA%D9%85/100007331463689/,خلف حاتم,2022-10-18T10:07:08.000Z,"ميسي افضل لاعب بالتأريخ 
#صراحه"
100022149171595,,Fakhr - Addine,2022-10-18T08:58:32.000Z,لا يهمني حالي اكثر من ان ارى رونالدو بخير في مانشستر
100084654375809,,Jihad Bouketta,2022-10-18T08:55:54.000Z,أنا خائف على مستقبل رونالدو����
100008098806359,https://www.facebook.com/people/Hussam-ALi/100008098806359/,Hussam ALi,2022-10-18T09:16:19.000Z,اصلا ميسي مامرتاح في باريس ويتمنة يرجع لبرشلونة
100012932449345,https://www.facebook.com/people/%D8%B1%D8%A8%D9%8A%D8%B9-%D9%85%D8%AD%D9%8A-%D8%A7%D9%84%D8%AF%D9%8A%D9%86-%D9%83%D9%86%D9%86%D9%8A/100012932449345/,ربيع محي الدين كنني,2022-10-18T09:05:33.000Z,بنزيما لا يستحق البالوندور
100079780017963,https://www.facebook.com/people/Abdou-Riahi/100079780017963/,Abdou Riahi,2022-10-18T09:59:11.000Z,كريم بنزيما فاز بكرة ذهبية انا فخور لأجله وفخور لريال مدريد
100077642817468,https://www.facebook.com/profile.php?id=100077642817468,Îl Yës,2022-10-18T09:01:03.000Z,بيكي ضعف مستواه عندما انفصل مع شاكيرا..
100015864993593,https://www.facebook.com/people/%C3%85m%C3%AFn-W%C3%A4%C4%91-%C3%84d%C3%A5m/100015864993593/,Åmïn Wäđ Ädåm,2022-10-18T08:57:51.000Z,مستقبل خط وسط الريال في امان
100062399643554,,Khaoula Ouattar,2022-10-18T10:57:32.000Z,قطار مدريد لا يأتي مرتين
100063378872141,,عہبہدآلرحہمہنہ ؤلد آلؤآديہ,2022-10-18T08:55:48.000Z,جافي خايف من بنزيما يضربو مرة ثانية ����
100034206660154,https://www.facebook.com/people/%D8%AE%D8%A7%D9%84%D8%AF-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A/100034206660154/,خالد السعودي,2022-10-18T13:07:47.000Z,تشافي : الكلاسيكو يثيرني جنسيا
